Date,Calories.Burned,Steps,Distance,Floors,Minutes.Sedentary,Minutes.Lightly.Active,Minutes.Fairly.Active,Minutes.Very.Active,Activity.Calories,Minutes.Asleep,Minutes.Awake,Number.of.Awakenings,Time.in.Bed
2016-03-22,2721,7828,3.67,14,699,287,0,0,1196,402,16,11,422
2016-03-23,3158,12470,6.41,23,690,259,2,36,1619,450,16,12,466
2016-03-24,2953,11231,5.45,27,664,257,27,20,1445,420,22,11,442
2016-03-25,3373,16339,8.56,22,831,234,10,59,1818,421,40,19,461
2016-03-26,1871,600,0.28,0,938,34,0,0,128,446,21,17,468
2016-03-27,3085,9017,4.23,16,597,297,29,12,1626,267,16,6,283
2016-03-29,3276,13780,6.95,34,740,256,34,45,1825,325,32,19,357
2016-03-30,3046,12383,6.28,21,700,172,13,57,1468,441,32,15,473
2016-03-31,2834,9872,4.72,42,652,233,16,24,1322,444,46,20,491
2016-04-01,3190,13789,7.29,25,809,156,17,68,1573,496,20,11,516
2016-04-02,2523,5609,2.63,13,660,251,0,0,969,353,5,5,359
2016-04-03,3194,12972,6.09,31,448,333,41,16,1829,548,22,13,570
2016-04-04,3132,11546,5.93,34,744,217,19,40,1537,388,15,9,403
2016-04-05,2577,6321,2.97,21,771,229,0,0,976,404,7,5,413
2016-04-06,3324,13850,7.03,44,650,293,11,42,1855,427,23,14,450
2016-04-07,2691,6472,3.05,23,704,260,5,0,1112,436,11,6,447
2016-04-08,3621,15943,8.31,27,696,281,16,61,2158,466,27,14,493
2016-04-09,3356,14117,7.18,54,537,227,47,45,1864,503,35,16,538
2016-04-10,2612,6733,3.16,20,735,260,10,0,1091,348,26,20,383
2016-04-11,3019,13048,6.49,28,624,207,6,62,1501,458,56,30,514
2016-04-12,3035,12101,6.04,29,709,260,4,38,1517,488,51,29,539
2016-04-13,3014,10562,5.29,32,650,232,16,40,1469,388,42,21,431
2016-04-14,3116,10197,4.86,35,673,218,49,30,1549,270,21,9,291
2016-04-15,3605,15945,8.2,28,647,236,23,85,2099,472,21,9,493
2016-04-16,3432,14358,6.75,36,479,315,57,40,2046,457,15,10,473
2016-04-17,4577,27048,12.69,68,242,306,139,153,3465,451,25,13,476
2016-04-18,3217,13919,7.07,19,659,304,8,38,1753,466,36,20,506
2016-04-19,2688,7819,3.67,16,729,268,0,0,1163,406,21,10,427
2016-04-20,3322,13827,7.04,28,696,261,29,40,1833,425,28,17,453
2016-04-21,2985,9319,4.37,26,663,294,32,5,1505,412,2,2,414
2016-04-22,3279,14826,7.77,29,714,253,12,48,1774,447,8,3,455
2016-04-23,3170,12094,5.69,25,494,332,34,23,1803,559,32,20,595
2016-04-24,2955,9110,4.27,17,575,169,30,17,865,497,18,8,515
2016-04-25,3198,13731,7,28,695,208,19,58,1676,511,32,17,543
